103,RightPHG,Parahippocampalgyrus Right,right
104,LeftPHG,Parahippocampalgyrus Left,left
105,RightPIns,Posteriorinsula Right,right
106,LeftPIns,Posteriorinsula Left,left
107,RightPO,Parietaloperculum Right,right
108,LeftPO,Parietaloperculum Left,left
109,RightPoG,Postcentralgyrus Right,right
110,LeftPoG,Postcentralgyrus Left,left
111,RightPOrG,Posteriororbitalgyrus Right,right
112,LeftPOrG,Posteriororbitalgyrus Left,left
113,RightPP,Planumpolare Right,right
114,LeftPP,Planumpolare Left,left
115,RightPrG,Precentralgyrus Right,right
116,LeftPrG,Precentralgyrus Left,left
117,RightPT,Planumtemporale Right,right
118,LeftPT,Planumtemporale Left,left
119,RightSCA,Subcallosalarea Right,right
120,LeftSCA,Subcallosalarea Left,left
121,RightSFG,Superiorfrontalgyrus Right,right
122,LeftSFG,Superiorfrontalgyrus Left,left
123,RightSMC,Supplementarymotorcortex Right,right
124,LeftSMC,Supplementarymotorcortex Left,left
125,RightSMG,Supramarginalgyrus Right,right
126,LeftSMG,Supramarginalgyrus Left,left
127,RightSOG,Superioroccipitalgyrus Right,right
128,LeftSOG,Superioroccipitalgyrus Left,left
129,RightSPL,Superiorparietallobule Right,right
130,LeftSPL,Superiorparietallobule Left,left
131,RightSTG,Superiortemporalgyrus Right,right
132,LeftSTG,Superiortemporalgyrus Left,left
133,RightTMP,Temporalpole Right,right
134,LeftTMP,Temporalpole Left,left
135,RightTrIFG,Triangularpartoftheinferiorfrontalgyrus Right,right
136,LeftTrIFG,Triangularpartoftheinferiorfrontalgyrus Left,left
137,RightTTG,Transversetemporalgyrus Right,right
138,LeftTTG,Transversetemporalgyrus Left,left
139,NA,Not  Used,NA
140,NA,Not  Used,NA
141,NA,Not  Used,NA
142,NA,Not  Used,NA
143,NA,Not  Used,NA
144,NA,Not  Used,NA
145,NA,Not  Used,NA
146,NA,Not  Used,NA
147,NA,Not  Used,NA
148,NA,Not  Used,NA
149,NA,Not  Used,NA
